country,region,city,country_slug,region_slug,city_slug,timezone,last_verified,source_title,source_url,complaint_channel,complaint_url,fine_range,notes_admin,service_type,schedule_pattern,request_url,eligible_items,not_accepted_items,limits,fees,holiday_shifts,illegal_dumping_reporting,notes_public
CA,Saskatchewan,Regina,canada,saskatchewan,regina,America/Regina,2025-10-16,"City of Regina - Landfill Information",https://www.regina.ca/home-property/recycling-garbage/landfill/,"Service Regina",https://www.regina.ca/about-regina/contact-us/service-request/,"Varies by bylaw.","Regina does not provide municipal bulky pickup. Residents self-haul to the City Landfill or hire a private hauler. Landfill rates and refrigerant fees are published online.",dropoff,"Deliver items during posted landfill hours (seasonal). Hazardous materials go to the Household Hazardous Materials Depot.",,"Furniture and household junk|Mattresses and box springs|Appliances (empty; refrigerant units incur surcharge)|Scrap metal and shingles|Standard municipal garbage or rubble","Wet loads or liquids|Household hazardous waste at the landfill|Electronics at the landfill|Explosives or firearms|Biohazardous or radioactive materials","Self-haul only. Loads up to 200 kg pay the small-load rate; heavier loads charged by weight. Loads must be tarped and secured. Refrigerant appliances incur an extra fee.","Standard waste: $10 (<=200 kg) or $95/tonne; refrigerant removal $10 per appliance plus disposal fees. Payment accepted at the scale house.","Landfill hours vary seasonally and on holidays; check the City website for updates.",https://www.regina.ca/about-regina/contact-us/service-request/,"Regina has no curbside bulky pickup-take sofas, mattresses, and appliances to the City Landfill or hire a hauler. Use the HHM Depot for hazardous items and SARCAN for electronics."
CA,British Columbia,Surrey,canada,british-columbia,surrey,America/Vancouver,2025-10-16,"City of Surrey - Large Item Pickup Program",https://www.surrey.ca/services-payments/waste-collection/large-item-pickup-program,"City of Surrey Waste Collection Services",https://www.surrey.ca/services-payments/waste-collection/missed-collection,"Illegal dumping fines up to $10,000; unscheduled set-outs may receive bylaw notices.","Surrey offers free on-call large item pickup. Houses can schedule six items per year (eight with a registered secondary suite); apartments/condos participate via property managers.",appointment,"Book online or by phone and place items at the designated spot by 7:30 a.m. on the scheduled day. Leave items accessible until 7:30 p.m.",https://my.surrey.ca/largeitems/terms,"Furniture such as sofas, tables, and dressers|Bagged mattresses and box springs|Large appliances (fridges, stoves, washers, dryers)|Electronics and boxed small appliances|Exercise equipment and outdoor furniture without propane tanks","Bathtubs or sinks|Carpets and rugs|Construction or renovation debris|Large glass or mirrors (remove and self-haul)|Propane tanks|Hot tubs or fireplaces","Up to six items per household per year (eight with a registered secondary suite). Apartments/condos: up to four items per unit per year via property managers. Mattresses must be bagged in clear plastic.","Large item pickup is free within annual limits. Self-haul fees follow Metro Vancouver rates.","Most holidays are serviced except December 25 and January 1; bookings on those dates are rescheduled.",https://www.surrey.ca/services-payments/waste-collection/missed-collection,"Book Surrey's free large item pickup, bag mattresses, remove propane tanks, and keep items accessible for collection from 7:30 a.m. to 7:30 p.m."
CA,Ontario,Richmond Hill,canada,ontario,richmond-hill,America/Toronto,2025-10-16,"City of Richmond Hill - Garbage and Recycling at Your Home",https://www.richmondhill.ca/en/living-here/Garbage-and-Recycling-at-Your-Home.aspx,"Access Richmond Hill Contact Centre",https://accessrh.richmondhill.ca,"Illegal dumping fines up to $5,000; smaller penalties for other waste bylaw offences.","Richmond Hill collects bulky items with garbage every other week. Each bulky item counts toward the three-item garbage limit. Appliances and metal items require a separate appointment.",mixed,"Set bulky items out on your garbage day by 7:00 a.m. (6:00 a.m. in the downtown core) and no earlier than 6:00 p.m. the night before. Garbage is every other week.",https://eservices.richmondhill.ca/garbagecollection/,"Couches and sofas|Chairs|Mattresses and box springs|Toilets with separated tanks and bowls unless one-piece|Dressers and other non-metal furniture|Wrapped and labeled glass or mirrors","Appliances and metal items on regular garbage day|Construction or renovation debris|Electronics|Household hazardous waste|Tires|Medical sharps or medications","Three garbage items per collection, with each bulky item counting as one. Maximum weight 68 kg and length six feet. Remove uncollected material by 9:00 p.m.","Bulky collection is included. Appliances and metal items are collected monthly by free appointment. Garbage tags for additional items cost extra; regional depots may charge for certain drop-offs.","If a statutory holiday (except Boxing Day) falls on a collection day, service shifts one day later that week.",https://accessrh.richmondhill.ca,"Set bulky items out on garbage day within the three-item limit, book appliance or metal pickups separately, wrap and label glass, and take electronics or hazardous items to York Region depots."
CA,Ontario,Oakville,canada,ontario,oakville,America/Toronto,2025-10-16,"Halton Region - Curbside Collection and Waste Sorting Guide",https://www.halton.ca/for-residents/recycling-waste/curbside-collection-and-waste-sorting-guide,"Halton 311 (Access Halton)",https://www.halton.ca/the-region/contact-us/about-311,"Varies by bylaw violation.","Halton Region collects bulky waste every other week on garbage day with a three-item limit. Items must be set out by 7:00 a.m. and not earlier than 5:00 p.m. the evening before. Metal items and appliances require appointments.",mixed,"Bulk items: every other week on garbage day; set out by 7:00 a.m. and no earlier than 5:00 p.m. the previous evening. Metal and appliances: schedule a free appointment before setting out.",https://www.halton.ca/for-residents/recycling-waste/recycling-and-waste-tools/online-waste-collection-schedule,"Furniture such as sofas, chairs, and tables|Mattresses and box springs wrapped and sealed in plastic|Carpet and underpadding bundled to 1.2 meters by 0.76 meters|Toilets with tanks separated|Wood items including fencing or shelving bundled to 1.2 meters by 0.76 meters|Windows or mirrors taped in an X pattern","Household hazardous waste|Tires and auto parts|Propane tanks|Construction and demolition debris|Concrete and bricks|Electronics","Set out no more than three bulky items per collection. Items that fit in a closed bag or container are not considered bulk.","Curbside bulky pickup is included. Metal and appliance pickup is free by appointment. Tipping fees apply at the Halton Waste Management Site.","Holiday weeks may alter collection schedules; confirm via the Online Waste Collection Schedule.",https://oakvillecrm.my.site.com/ServiceOakville/s/select-a-request,"Place up to three bulky items next to your garbage by 7 a.m. on garbage weeks. Book metal or appliance pickups in advance or use the Halton Waste Management Site for special items."
CA,Ontario,Burlington,canada,ontario,burlington,America/Toronto,2025-10-16,"Halton Region - Curbside Collection and Waste Sorting Guide",https://www.halton.ca/for-residents/recycling-waste/curbside-collection-and-waste-sorting-guide,"Halton 311 (Access Halton)",https://www.halton.ca/the-region/contact-us/about-311,"Varies by bylaw violation.","Halton Region collects bulky items every other week with a three-item limit. Metal items and appliances must be booked separately through the Region's appointment service.",mixed,"Bulk items: every other week on garbage day by 7:00 a.m., not earlier than 5:00 p.m. the evening before. Metal and appliances: booked appointment required.",https://www.halton.ca/for-residents/recycling-waste/recycling-and-waste-tools/metal-and-appliance-collection,"Furniture including tables, sofas, and chairs|Mattresses and box springs wrapped and sealed in plastic|Carpet and underpadding bundled to 1.2 meters by 0.76 meters|Disassembled toilets|Wood items bundled to 1.2 meters by 0.76 meters|Windows or mirrors taped before set-out","Household hazardous waste|Tires and auto parts|Propane tanks|Construction and demolition debris|Concrete and bricks|Electronics","Set out a maximum of three bulky items per collection. Do not pile items; only loose oversized items count as bulk.","Curbside bulky collection is included in base service. Metal and appliance pickups are free by appointment. Halton Waste Management Site charges tipping fees for certain drop-offs.","Holiday weeks may shift collection schedules; use the online waste collection tools to confirm.",https://www.burlington.ca/en/home-property-and-environment/litter-and-clean-ups.aspx,"Set out up to three bulky items on your garbage week by 7 a.m. Wrap mattresses, bundle materials to size, and pre-book free metal or appliance pickups."
CA,British Columbia,Richmond,canada,british-columbia,richmond-bc,America/Vancouver,2025-10-16,"City of Richmond - Large Item Pick Up",https://www.richmond.ca/services/recycling-garbage/garbagecollection/largeitem.htm,"City of Richmond Environmental Programs",https://www.richmond.ca/services/recycling-garbage/garbagecollection.htm,"Illegal dumping fines can reach $1,000.","Eligible residents may book up to six large item pickups per year through the City's contractor. Some strata properties are ineligible and must arrange alternative disposal.",appointment,"Schedule through Sierra Waste by 4:00 p.m. the Thursday before the next garbage day. Set items out after 8:00 p.m. the night before or by 7:30 a.m. on pickup day.",https://richmond.ca/services/recycling-garbage/garbagecollection/largeitem/schedulepickup.htm,"Appliances such as stoves, washers, dryers, and refrigerators (propane removed)|Furniture including sofas and upholstered items that are dry|Mattresses and box springs wrapped and sealed in plastic|Bed frames and headboards|Outdoor furniture|Small household goods packaged in boxes or bundles counted as one item|Electric lawnmowers|Passenger or light-duty tires|Weight-training equipment","Wet or unsealed mattresses and upholstered furniture|Propane tanks|Gas lawnmowers|Automobile bodies and parts|Tree stumps|Carpets and lumber|Demolition or renovation debris|Hazardous waste","Six large items per address per calendar year. Items must be dry, manageable, and accessible from the curb.","Service is included for eligible addresses. Additional items must be taken to disposal facilities at the resident's cost.","Consult the City calendar and appointment confirmation for holiday changes.",https://www.richmond.ca/services/recycling-garbage/garbagecollection/Dumping.htm,"Book up to six large item pickups per year through the City. Set items out after 8 p.m. before pickup day, wrap mattresses, and keep upholstered furniture dry."
CA,British Columbia,Burnaby,canada,british-columbia,burnaby,America/Vancouver,2025-10-16,"City of Burnaby - Large Item Pickup",https://www.burnaby.ca/services-and-payments/recycling-and-garbage/large-item-pickup,"Solid Waste and Recycling Division",https://www.burnaby.ca/services-and-payments/recycling-and-garbage,"Varies by municipal enforcement; illegal dumping penalties may apply.","Burnaby offers free on-call large item pickup for households with City curbside collection. Houses and duplexes may set out up to three items per pickup; multi-family complexes up to six items per appointment.",appointment,"Submit a request online or call 604-294-7972. After receiving the confirmed date and location, set items out at the specified spot before the scheduled time.",https://www.burnaby.ca/services-and-payments/recycling-and-garbage/large-item-pickup/large-item-pickup-request-form,"Large kitchen and laundry appliances|Hot water tanks|Air conditioners|Large standing barbecues with propane tanks removed|Patio furniture (excluding umbrellas)|Bed frames and box springs|Stand-alone cabinets, shelves, and nightstands|Small area rugs under five feet|Dressers, desks, tables, and entertainment units|Chairs, couches, sofas, ottomans, and recliners|Baby cribs|Toilets|Mattresses thicker than four inches wrapped and sealed in plastic|Mirrors wrapped for safety","Televisions, computers, and electronics|Microwaves and lamps|Construction, renovation, or demolition materials|Loose doors|Baby car seats|Suitcases or luggage|Mattress toppers|Patio umbrellas|Fireplaces or fire tables|Game tables|Children's toys","Houses and duplexes can place three items per pickup. Multi-family complexes can place six items per appointment and must use the designated setout location. Mattresses must be wrapped and mirrors must be protected.","No cost for eligible City customers.",,"Report issues to Solid Waste and Recycling at 604-294-7972 or through the BurnabyConnect app.","Burnaby's large item pickup is by appointment. Schedule online or by phone, follow the City's setout instructions, wrap mattresses, and use other disposal options for electronics or renovation debris."
CA,Quebec,Gatineau,canada,quebec,gatineau,America/Toronto,2025-10-16,"Ville de Gatineau - Encombrants",https://www.gatineau.ca/portail/default.aspx?c=en-CA&p=guichet_municipal/ordures_recyclage_compostage_encombrants/encombrants_residus_construction,"Gatineau 311",https://www.gatineau.ca/portail/default.aspx?c=en-CA&p=pour_nous_joindre/centre_appels_non_urgents/enregistrer_requete,"Nuisances and residual materials bylaws levy fines from $300 to $1,000 for individuals and $600 to $2,000 for legal persons.","Bulky collections are scheduled through the DTRITUS app with up to 18 dates per year. Residents can book four items per request, or up to twelve for multi-residential properties. Items must be categorized correctly and placed at the curb within the allowed timeframe.",appointment,"Book through DTRITUS. Set items out after 7:00 p.m. the night before or before 7:00 a.m. on collection day at the edge of your property.",https://www.gatineau.ca/dtritus,"Furniture such as sofas, tables, chairs, and dressers|Mattresses and box springs|Wood or metal items including bed frames and interior doors|Non-refrigerant appliances such as stoves, dishwashers, washers, and dryers|Large household toys or other oversized items|Refrigerant appliances collected separately through the GoRecycle program","Toilets|Household hazardous waste|Propane tanks and pressurized cylinders|Construction, renovation, or demolition debris|Electronics|Items not registered in DTRITUS or unsafe for collection","Book up to four items per appointment or twelve for multi-residential properties. Items must be placed at the curb after 7:00 p.m. before collection day and before 7:00 a.m. on collection day, keeping sidewalks clear.","Curbside bulky pickups are free. Refrigerant appliance pickups are free via GoRecycle. Ecocentre drop-off fees depend on material type and quantity.","Collections do not occur on December 25 or January 1 and shift by one day during those weeks; check DTRITUS for updates.",https://www.gatineau.ca/portail/default.aspx?c=en-CA&p=pour_nous_joindre/centre_appels_non_urgents/enregistrer_requete,"Schedule bulky pickups through the DTRITUS app. Register each item, set them out between 7 p.m. and 7 a.m., and use GoRecycle or ecocentres for excluded materials such as toilets or refrigerant appliances."
CA,Ontario,Markham,canada,ontario,markham,America/Toronto,2025-10-16,"City of Markham - Furniture and Bulky Items",https://www.markham.ca/neighbourhood-services/recycling-garbage/furniture-bulky-items,"Access Markham Contact Centre",https://www.markham.ca/services/report-a-problem,"Penalties vary under municipal bylaws and may include fines for improper set-outs.","Bulky items are collected every other week on clear bag garbage days with a three-item limit. Appliances and large metal items are collected monthly by appointment with fees for appliances.",mixed,"Bulky items: every other week on clear bag garbage day; set out by 7:00 a.m. Appliances and large metal items: monthly by appointment.",https://www.markham.ca/neighbourhood-services/recycling-garbage/what-goes-where/collection-schedules,"Sofas and couches|Chairs|Mattresses and box springs|Toilets with separated components for two-piece units|Bundled wood up to 1.2 meters long and 18 kilograms|Rolled carpet tied within size and weight limits","Large appliances set out without an appointment|Large metal items without an appointment|Construction or renovation materials|Electronics|Household hazardous waste|Propane tanks","Three bulky items per collection. Wood bundles and carpet rolls must be tied, under 1.2 meters long, and weigh less than 18 kilograms. Apartment and condo residents must work with property managers.","Bulky collection is included in service. Appliance pickup costs $18.50 per appliance starting January 2025. Large metal item pickup is free. Drop-off facilities may charge fees depending on materials.","If a statutory holiday falls between Tuesday and Friday, collection shifts one day later. Check the collection schedule for updates.",https://www.markham.ca/services/report-a-problem,"Set bulky items out by 7 a.m. on clear bag garbage weeks with a three-item limit. Schedule monthly appliance or metal pickups and remove fridge or freezer doors before collection. Use depots for renovation debris, electronics, or hazardous waste."
US,California,San Diego,united-states,california,san-diego,America/Los_Angeles,2025-10-16,"City of San Diego - Recycling Mattresses and Box Springs",https://www.sandiego.gov/environmental-services/recycling/residential/mattresses,"Environmental Services Department Customer Service 858-694-7000 (Monday-Friday 6:30 a.m.-5:00 p.m.); Get It Done app or web portal; after-hours illegal dumping call San Diego Police Department non-emergency 619-531-2000",https://getitdone.sandiego.gov,Varies by violation,"The City does not provide bulky curbside pickup. Mattress and box spring disposal is handled through a free drop-off program. Guidance confirmed through Environmental Services Department resources including the 2025 curbside guide, Miramar Landfill fee schedule, and illegal dumping information.",dropoff,"No routine curbside bulky collection or appointments. The mattress drop-off site outside Miramar Landfill is open Monday-Friday 7:00 a.m.-3:00 p.m. and closed weekends and on City-observed holidays. Weekly trash service shifts one day later during holiday weeks.",,"Mattresses delivered to the City's mattress collection site outside Miramar Landfill|Box springs delivered to the City's mattress collection site|Other bulky items must be taken to Miramar Landfill, private haulers, or locations listed on WasteFreeSD.org","Any curbside placement of bulky items for City collection|Household hazardous waste, electronics, batteries, light bulbs, paint, motor oil, or chemicals|Mattresses that are wet, soiled, infested with bedbugs, severely damaged, twisted, or frozen","No curbside bulky service. Mattress drop-off has no published item limit but materials must meet condition requirements and be self-hauled by residents during posted hours. Miramar Landfill loads must be covered and comply with landfill restrictions.","Mattress and box spring drop-off is free through the Mattress Recycling Council. Miramar Landfill charges flat-rate disposal fees by vehicle type and applies a $50 uncovered load fee; weighed loads may require a deposit.","No collection on New Year's Day, Memorial Day, Independence Day, Labor Day, Thanksgiving Day, or Christmas Day; curbside trash, recycling, and organics shift one day later for the rest of the week.","Report via the City's Get It Done portal or call Environmental Services at 858-694-7000 during business hours; after hours call the San Diego Police Department non-emergency line at 619-531-2000 or 911 in an emergency.","City-serviced homes do not receive bulky curbside pickup. Use the free mattress drop-off outside Miramar Landfill or haul other bulky items to Miramar, a private hauler, or a recycling option listed on WasteFreeSD.org. Do not place bulky items at the curb; illegal dumping is subject to enforcement. Confirm your service provider and holiday schedule through the City's lookup tool."
US,New York,New York,united-states,new-york,new-york,America/New_York,2025-10-16,"NYC Department of Sanitation - Large Items (Bulk)",https://www.nyc.gov/site/dsny/collection/get-rid-of/large-items.page,"Report missed collection through NYC 311 online, the 311 app, or by calling 311 (212-NEW-YORK outside NYC)",https://on.nyc.gov/MissedTrash,"Illegal dumping civil penalties range from $4,000 to $18,000 with possible vehicle impoundment. Mattresses or box springs not sealed in plastic bags may incur fines up to $300. Residential set-out violations range from $50 to $200 depending on repeat offenses.","DSNY collects bulk curbside without appointments; up to six items may be set out per collection day. Metal and rigid plastic bulk is collected with recycling, while other items go out with trash. Mattresses must be bagged and electronics are banned from curbside disposal. Appliances containing CFCs require a free DSNY appointment.",mixed,"Set out up to six bulk items between 6:00 p.m. and midnight the evening before your scheduled collection day. Place metal and rigid plastic items with recycling and other bulk with trash on the trash-only day. Schedule a free DSNY appointment before setting out CFC appliances; the item is tagged for pickup on the next recycling day after refrigerant removal.",https://www.nyc.gov/assets/dsny/forms/cfc-recovery-appointment-request,"Large furniture such as sofas, tables, desks, dressers, and bookcases|Wood furniture set out with trash on the trash-only day|Metal and rigid plastic items such as bed frames and file cabinets set out with recycling|Mattresses and box springs sealed in plastic bags|Rugs and carpets rolled and securely tied for trash day|Non-refrigerant appliances such as stoves, ovens, and washers set out with recycling|Refrigerators, freezers, air conditioners, dehumidifiers, and water coolers after DSNY removes CFCs","Electronics including televisions, computers, and printers covered by New York State e-waste law|Household hazardous waste such as paints, solvents, and pesticides|Construction and demolition debris including concrete, bricks, drywall, and large lumber loads|Gas cylinders, propane tanks, and fire extinguishers|Oversized or commercial appliances that cannot fit in a collection truck|Appliances using refrigerants not serviced by DSNY such as R600a or R32 units","Set out no more than six bulk items per collection day within the 6:00 p.m.-midnight window. Mattresses and box springs must be sealed in plastic bags. Roll and tie rugs. Keep items on the curb in front of your property without blocking sidewalks or driveways. Electronics cannot be placed at the curb and require e-waste disposal programs. Refrigerant appliances require DSNY appointments and door removal.","There is no fee for curbside bulk collection or for DSNY CFC removal appointments.","Collection is suspended on DSNY-recognized holidays. When service is suspended, set items out after 6:00 p.m. the evening before the next scheduled collection day and check the DSNY holiday schedule for alerts.","Report illegal dumping through NYC 311 online, the 311 app, or by calling 311. Call 911 if dumping is in progress. Vehicle owners may face fines from $4,000 to $18,000 and vehicle impoundment.","Bulk pickup in New York City is free and does not require an appointment for most items. Set out up to six items between 6:00 p.m. and midnight, bag mattresses, separate metal and rigid plastic for recycling, and schedule appointments for CFC appliances. Do not set electronics or hazardous waste at the curb."
CA,Ontario,Toronto,canada,ontario,toronto,America/Toronto,2025-10-16,"City of Toronto - Oversized and Metal Items",https://www.toronto.ca/services-payments/recycling-organics-garbage/houses/oversized-metal-items/,"311 Toronto",https://www.toronto.ca/home/311-toronto-at-your-service/create-a-service-request/,Varies by violation,"Oversized items are collected on regular garbage day without appointments and with no item limits. Residents pay an annual Oversized and Metal Items fee that supports the service. Preparation standards require 0.5 meter spacing, appliance door removal, and secure bundling.",curbside,"Set oversized items beside your garbage bin on the scheduled garbage collection day, leaving at least 0.5 meters (2 feet) of clearance around bins and items.",https://www.toronto.ca/services-payments/recycling-organics-garbage/houses/collection-schedule/,"Furniture such as tables, sofas, lamps, and patio furniture|Mattresses and box springs|Metal items and appliances with doors removed|Carpets that are rolled, cut, tied, no longer than 4 feet, and no heavier than 20 kilograms","Household hazardous waste including paint, pesticides, and batteries|Construction or renovation debris such as drywall, lumber, and tiles|Tires","There is no limit to the number of oversized items. Maintain 0.5 meters of spacing around bins and items, dismantle large or heavy pieces as needed, and follow special preparation rules for glass or bed bug infested items.","Service is funded through the annual Oversized and Metal Items fee ($22.39 per home in 2025); there is no per-item curbside charge.","Some holiday weeks shift collection by one day; confirm using the City's collection schedule or holiday pages.","Report dumping or litter issues through the City's bylaw enforcement portal at https://www.toronto.ca/city-government/public-notices-bylaws/bylaw-enforcement/litter-garbage/","Place oversized items beside your garbage bin with spacing, remove appliance doors, wrap bed bug infested items, and take household hazardous waste or renovation debris to a Drop-Off Depot. Check your collection day online."
CA,Manitoba,Winnipeg,canada,manitoba,winnipeg,America/Winnipeg,2025-10-16,"City of Winnipeg - Extra Garbage and Large Item Pickup",https://www.winnipeg.ca/services-programs/recycling-garbage/collection-services/extra-garbage-large-item-pickup,"Winnipeg 311",https://www.winnipeg.ca/311-city-services/submit-report-or-request,Varies by violation,"Large items are collected by appointment. Requests must be submitted at least two full business days before the regular collection day. Limits and fees follow the City's published guidance.",appointment,"Request pickup through the City portal at least two full business days before your regular collection day. The City confirms the collection date for your items.",https://myutility.winnipeg.ca/UtilityPortal/contactForm?section=special,"Large appliances|Furniture|Refrigerators or freezers (ozone-depleting substance handling fee applies)|Air conditioners|Extra garbage bags (fee per bag)","Household hazardous waste (use 4R Winnipeg Depots)|Construction, renovation, or demolition debris","Up to three extra garbage bags or up to ten large items per pickup. Typical maximum item size is 1.5 meters by 1.5 meters by 2.15 meters and weight up to 34 kilograms, except for appliances. Items must be set out after the appointment is confirmed.","Fees apply and are billed to the utility account, including charges for extra bags, appliances, and items containing ozone-depleting substances.","Collection may shift on weeks with City holidays; check your schedule for updates.","Report illegal dumping or property standards issues through https://www.winnipeg.ca/services-programs/bylaws-enforcement/property-neighbourhood-standards","Schedule appointments before setting items out. Set items out only after confirmation, and use 4R Winnipeg Depots for hazardous waste or materials not accepted at the curb. Contact 311 for missed pickups or dumping concerns."
US,Pennsylvania,Philadelphia,united-states,pennsylvania,philadelphia,America/New_York,2025-10-16,"City of Philadelphia - Schedule Trash Collection for Bulky Household Items",https://www.phila.gov/services/trash-recycling-city-upkeep/schedule-trash-collection-for-bulky-household-items/,"Philly311",https://www.phila.gov/311,Varies by violation,"The City offers free bulk pickup appointments for one-to-six unit properties. Up to four items can be scheduled per appointment, and items must be labeled with a pickup code. Regular trash day rules still allow two non-metal bulky items.",appointment,"Schedule appointments online or via 311. Set items at the regular collection point after 7:00 p.m. (5:00 p.m. in fall and winter) the evening before pickup and by 7:00 a.m. on the day of service. Label items with the four-letter pickup code.",https://bulkcollection.phila.gov,"Refrigerators and major appliances with doors removed|Household furniture|Large toys|Flat-screen televisions|Passenger vehicle tires without rims (four tires count as one item)","Household trash|Mattresses (set out on regular trash day and wrapped in plastic)|Hazardous, flammable, or explosive materials|Automotive parts|Construction or demolition debris","Up to four items per appointment; City crews will not enter homes. Items must display the pickup code and be set at the regular collection point. Sanitation Convenience Centers accept additional metal items.","There is no fee for City bulk appointments.","No trash or recycling collection on City holidays; collection runs one day late for the rest of the week.","Report illegal dumping through https://www.phila.gov/services/trash-recycling-city-upkeep/report-a-problem-with-trash-recycling-or-city-upkeep/report-illegal-dumping/","Book bulk appointments online or through 311, follow set-out times, label items with the pickup code, and use Sanitation Convenience Centers or household hazardous waste events for items not accepted in the bulk program."
